@relation versao03-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R10

@attribute area_m2 numeric
@attribute bairro_valorizacao {baixo,alto,medio}
@attribute idade_imovel numeric
@attribute vagas_estacionamento numeric
@attribute distancia_centro_km numeric
@attribute fluxo_pessoas_dia numeric
@attribute taxa_vacancia_regiao numeric
@attribute tipo_imovel {loja,sala_comercial,escritorio,galpao}
@attribute padrao_construtivo {medio,baixo,alto}
@attribute preco numeric
@attribute Outlier {no,yes}
@attribute ExtremeValue {no,yes}

@data
0.032554,baixo,0.101449,0.230769,0.619574,0.042331,0.493776,loja,medio,2204.15,no,no
0.009957,baixo,0.202899,0.153846,0.386346,0.043709,0.782158,sala_comercial,baixo,850,no,no
0.013413,alto,0.144928,0,0.135754,0.34554,0.165629,escritorio,baixo,7952.65,no,no
0.194503,baixo,0.188406,0.120447,0.434491,0.10632,0.620332,galpao,medio,26588.6,no,no
0.043637,medio,0.608696,0,0.407656,0.184924,0.072268,loja,baixo,6693.03,no,no
0.000007,alto,0.115942,0,0.05959,0.240599,0.115145,sala_comercial,medio,6526.62,no,no
0.052189,alto,0.086957,0,0.248224,0.184924,0.043914,loja,medio,13938.9,no,no
0.016287,medio,0.130435,0,0.372928,0.101201,0.495851,sala_comercial,medio,850,no,no
0.049784,medio,0.072464,0,0.307419,0.202402,0.557054,loja,alto,11100.03,no,no
0.060998,medio,0.014493,0,0.196527,0.195117,0.432227,escritorio,baixo,5182.54,no,no
0.006072,baixo,0.144928,0.076923,0.556827,0.049222,0.596473,escritorio,medio,850,no,no
0.225354,medio,0.15942,0.230769,0.479479,0.379602,0.259336,galpao,baixo,91788.76,yes,no
0.000007,baixo,0.101449,0,0.466456,0.070093,0.418396,loja,medio,850,no,no
0.029335,medio,0.072464,0.076923,0.364122,0.167553,0.304288,loja,baixo,4616.75,no,no
0.00357,baixo,0.217391,0.076923,0.352407,0.135657,0.280775,sala_comercial,medio,1003.08,no,no
0.012512,baixo,0.347826,0,0.668903,0,0.721646,sala_comercial,medio,850,no,no
0.017845,medio,0.072464,0,0.406472,0.172278,0.360304,sala_comercial,baixo,3322.54,no,no
0.021838,baixo,0.275362,0,0.839384,0,0.793223,loja,medio,850,no,no
0.033673,medio,0.57971,0.153846,0.409629,0.205552,0.363416,loja,baixo,7399.96,no,no
0.005883,baixo,0.550725,0,0.681137,0,0.452974,loja,alto,850,no,no
0.004491,alto,0.057971,0,0.303473,0.292774,0.237898,sala_comercial,alto,6604.68,no,no
0.015376,medio,0.188406,0,0.281373,0.193345,0.467151,sala_comercial,medio,3826.68,no,no
0.042911,baixo,0.15942,0.076923,0.664167,0.030715,0.486169,escritorio,baixo,850,no,no
0.020032,baixo,0.318841,0.076923,0.565904,0.075802,0.71231,sala_comercial,medio,850,no,no
0.055495,alto,0.207802,0.230769,0.152723,0.35125,0.190871,loja,medio,22623.19,no,no
0.055244,baixo,0.101449,0.076923,0.614838,0.07659,0.422891,loja,baixo,4497.57,no,no
0.058368,medio,0.333333,0.230769,0.3603,0.192951,0.22545,loja,medio,10352.84,no,no
0.025756,alto,0.275362,0,0.105367,0.307344,0.226487,escritorio,medio,10931.97,no,no
0.045362,medio,0.115942,0,0.353197,0.257531,0.440871,loja,medio,9162.79,no,no
0.015483,medio,0.043478,0,0.250197,0.190589,0.33195,loja,baixo,5522.05,no,no
0.023136,baixo,0.115942,0,0.174033,0.145304,0.39592,sala_comercial,medio,4141.1,no,no
0.013033,medio,0.246377,0,0.185083,0.184924,0.355571,sala_comercial,medio,3973.15,no,no
0.056527,baixo,0.144928,0.230769,0.728098,0.044891,0.118603,loja,medio,7091.54,no,no
0.019118,medio,0.15942,0,0.292028,0.148061,0.1926,loja,medio,5696.34,no,no
0.01395,alto,0.188406,0.120447,0.063931,0.260091,0.159059,sala_comercial,alto,6919.6,no,no
0.230844,medio,0.086957,0.076923,0.379242,0.319748,0.194675,galpao,alto,51244.48,yes,no
0.269473,alto,0.26087,0.076923,0.134964,0.342193,0.121024,galpao,alto,72043.55,yes,no
0.021669,baixo,0.246377,0.076923,0.750197,0,0.355571,sala_comercial,medio,850,no,no
0.037659,alto,0.072464,0,0.124309,0.382162,0.115145,loja,medio,17506.04,no,no
0.024819,medio,0.275362,0.153846,0.385951,0.198267,0.137967,loja,medio,8187.69,no,no
0.017279,alto,0.188406,0.076923,0.158642,0.191967,0.12621,sala_comercial,medio,6604.81,no,no
0.007318,baixo,0.072464,0.076923,0.696922,0.024611,0.511411,loja,alto,850,no,no
0.01027,alto,0.173913,0,0.194159,0.228195,0.258645,sala_comercial,medio,4651.6,no,no
0.028496,alto,0.188406,0,0.18311,0.288836,0.101314,escritorio,medio,11858.35,no,no
0.016231,baixo,0.028986,0,0.25809,0.133294,0.525588,sala_comercial,medio,2879.66,no,no
0.022414,medio,0.202899,0,0.322415,0.1772,0.304633,sala_comercial,medio,5697.64,no,no
0.000007,medio,0.043478,0.120447,0.245067,0.15318,0.201245,sala_comercial,baixo,850,no,no
0.006824,medio,0.144928,0.076923,0.303078,0.226029,0.151452,sala_comercial,medio,2290.78,no,no
0.042892,baixo,0.217391,0.153846,0.854775,0.184924,0.570885,escritorio,baixo,850,no,no
0.014523,medio,0.144928,0,0.215864,0.168931,0.312586,loja,medio,2683.78,no,no
0.26852,baixo,0.188406,0.538462,0.483425,0.198858,0.651798,galpao,medio,45316.88,yes,no
0.060998,medio,0.202899,0.615385,0.248224,0.2975,0.300484,galpao,baixo,41466.26,no,no
0.004308,alto,0.086957,0,0.364122,0.183107,0.20574,sala_comercial,alto,3458.02,no,no
0.024916,medio,0.043478,0.230769,0.364122,0.137822,0.230982,loja,baixo,5084.95,no,no
0.007406,medio,0.014493,0,0.243883,0.17661,0.279737,escritorio,baixo,2965.79,no,no
0.014383,medio,0.028986,0,0.224546,0.078165,0.13278,sala_comercial,medio,2418.28,no,no
0.243489,medio,0.434783,0.120447,0.234412,0.261469,0.416321,galpao,baixo,38013,yes,no
0.001097,alto,0.304348,0,0.099842,0.639102,0.055325,escritorio,baixo,9209.99,yes,no
0.042059,alto,0,0.230769,0.124704,0.184924,0.266598,escritorio,medio,14558.24,no,no
0.014604,baixo,0.275362,0,0.129045,0.106911,0.680152,sala_comercial,baixo,1276.75,no,no
0.015991,medio,0.144928,0.384615,0.408445,0.103564,0.417358,loja,medio,4330.25,no,no
0.06871,baixo,0.347826,0,0.809787,0.056113,0.536999,galpao,medio,2321.42,no,no
0.060998,medio,0.202899,0,0.19929,0.218547,0.236169,loja,baixo,5710.89,no,no
0.083021,baixo,0.086957,0.153846,0.445146,0.168734,0.518672,loja,alto,15286.59,no,no
0.000007,baixo,0.188406,0,0.937648,0,0.363071,loja,medio,850,no,no
0.036117,alto,0.101449,0.120447,0.364122,0.184924,0.192946,escritorio,medio,12972.12,no,no
0.025349,medio,0.057971,0,0.477901,0.054538,0.30083,sala_comercial,medio,1792.8,no,no
0.024061,medio,0.057971,0,0.355959,0.147864,0.313624,loja,alto,5685.1,no,no
0.004266,medio,0.043478,0.076923,0.347277,0.136247,0.336445,loja,medio,1974.11,no,no
0.000007,medio,0.043478,0.076923,0.442778,0.116361,0.320539,loja,medio,850,no,no
0.021236,medio,0.304348,0.076923,0.364122,0.161843,0.360996,sala_comercial,baixo,3296.75,no,no
0.011197,baixo,0.028986,0.076923,0.507498,0,0.702974,escritorio,baixo,850,no,no
0.00657,medio,0.188406,0,0.438437,0.102973,0.19917,escritorio,medio,850,no,no
0.065361,medio,0.492754,0.153846,0.364246,0.262453,0.524205,loja,alto,13255.01,no,no
0.241804,alto,0.246377,0.615385,0.154696,0.51073,0.214039,galpao,baixo,59795.06,yes,no
0.065046,medio,0.42029,0.153846,0.571823,0.139004,0.502075,galpao,medio,8649.26,no,no
0.01956,medio,0.043478,0.153846,0.434096,0.130341,0.359267,escritorio,alto,5477.38,no,no
0.008412,medio,0.115942,0.230769,0.224941,0.158299,0.272476,escritorio,medio,5513.87,no,no
0.031659,baixo,0.072464,0.153846,0.29558,0.184924,0.635892,escritorio,baixo,987.81,no,no
0.025307,alto,0.304348,0.076923,0.294396,0.331168,0.025242,sala_comercial,alto,9079.25,no,no
0.198707,baixo,0.101449,0.153846,0.66614,0.190786,0.378976,galpao,medio,25771.07,yes,no
0.013667,baixo,0.207802,0.076923,0.605367,0.027564,0.837137,sala_comercial,medio,850,no,no
0.020907,baixo,0.207802,0.076923,0.581689,0.036621,0.410443,loja,alto,982.89,no,no
0.013283,medio,0.115942,0,0.217837,0.19748,0.355571,escritorio,medio,3442.91,no,no
0.046683,medio,0.15942,0.153846,0.364122,0.14432,0.372752,loja,medio,8674.33,no,no
0.051701,medio,0.144928,0,0.185872,0.222288,0.385892,loja,baixo,10295.27,no,no
0.040386,medio,0.014493,0.076923,0.284136,0.13861,0.401798,loja,baixo,5908.56,no,no
0.021796,medio,0.101449,0.153846,0.477901,0.158693,0.396266,escritorio,baixo,2586.72,no,no
0.016963,medio,0.246377,0,0.460537,0.071668,0.415284,sala_comercial,medio,850,no,no
0.083408,medio,0.086957,0,0.314522,0.197283,0.311895,galpao,alto,16807.79,no,no
0.061499,medio,0.207802,0.076923,0.506709,0.204371,0.349931,loja,medio,10163.93,no,no
0.006206,medio,0.086957,0,0.442384,0.180547,0.639696,sala_comercial,baixo,850,no,no
0.040637,baixo,0.449275,0.120447,0.539463,0.080331,0.662172,escritorio,alto,850,no,no
0.183527,baixo,0.130435,0.307692,0.51026,0.105533,0.768672,galpao,alto,26031.71,no,no
0.060998,medio,0.376812,0.615385,0.291239,0.287261,0.352006,galpao,medio,28773.16,no,no
0.033475,medio,0.043478,0.076923,0.241515,0.160465,0.286999,escritorio,medio,6696.38,no,no
0.322941,baixo,0.347826,0.769231,0.089582,0.37153,0.514523,galpao,medio,49273.86,yes,no
0.030107,medio,0.478261,0,0.40292,0.179563,0.318811,sala_comercial,alto,2977.72,no,no
0.050445,medio,0.144928,0,0.294791,0.183304,0.396611,loja,medio,10139.05,no,no
0.014578,medio,0.115942,0.076923,0.237174,0.137822,0.312586,sala_comercial,alto,4282.08,no,no
0.01383,baixo,0.101449,0,0.623915,0.081709,0.538036,sala_comercial,baixo,850,no,no
0.005577,baixo,0.202899,0.153846,0.551302,0.062808,0.485477,sala_comercial,medio,850,no,no
0.020055,alto,0.144928,0,0.236385,0.27407,0.118949,escritorio,medio,7851,no,no
0.035164,medio,0.26087,0,0.33386,0.162827,0.236515,escritorio,alto,7390.74,no,no
0.004806,baixo,0.217391,0.076923,0.389503,0.057295,0.693638,sala_comercial,medio,850,no,no
0.063533,alto,0.101449,0.153846,0.209155,0.202599,0.235477,loja,medio,19568.86,no,no
0.049468,alto,0.333333,0.153846,0.222968,0.224454,0.196058,escritorio,medio,13277.89,no,no
0.000156,medio,0.231884,0,0.40371,0.159874,0.335408,loja,baixo,916.45,no,no
0.034054,baixo,0.188406,0.076923,0.359511,0.107305,0.751383,loja,alto,4669.98,no,no
0.057041,baixo,0.014493,0.076923,0.882399,0.14432,0.571231,loja,alto,6745.55,no,no
0.262438,medio,0.144928,0.076923,0.238358,0.438866,0.288728,galpao,medio,44151.1,yes,no
0.01889,medio,0.521739,0.076923,0.397001,0.169718,0.24343,sala_comercial,medio,1645.08,no,no
0.01288,baixo,0.072464,0.230769,0.561563,0.113408,0.490664,sala_comercial,alto,1474.33,no,no
0.044604,baixo,0.289855,0.076923,0.432518,0.088403,0.56639,loja,medio,2351.88,no,no
0.000007,baixo,0.217391,0,0.797948,0.033668,0.613762,loja,medio,850,no,no
