id_imovel,tipo_imovel,zona,area_m2,vagas_estacionamento,banheiros,idade_imovel_anos,distancia_centro_km,andar,estado_conservacao,fluxo_pessoas,tem_climatizacao,documentacao_regular,cor_fachada,preco_aluguel_mensal
COM-0001,Prédio Comercial,Centro,1073.85,11.0,9,2.0,6.07,3,Bom,Médio,Não,Não,Branca,93168.82
COM-0002,Galpão,Centro,892.52,9.0,6,2.0,2.23,0,Novo,Médio,Sim,Sim,Vermelha,65123.0
COM-0003,Prédio Comercial,Zona Sul,296.28,,1,4.0,7.94,0,Bom,Médio,Não,Sim,Verde,21544.35
COM-0004,Sala Comercial,Centro,2991.47,0.0,1,8.0,0.2,2,Precisa Reforma,Médio,Sim,Sim,Cinza,8566.85
COM-0005,Galpão,Zona Oeste,373.76,4.0,2,13.0,9.12,0,Regular,Médio,Não,Sim,Amarela,15036.9
COM-0006,Sala Comercial,Zona Leste,51.44,0.0,1,28.0,15.47,6,Regular,Médio,Não,Sim,Azul,800.0
COM-0007,Escritório,Área Industrial,102.31,0.0,1,41.0,16.59,12,Regular,Alto,Sim,Sim,Cinza,1412.73
COM-0008,Loja,Zona Norte,164.09,,1,3.0,9.62,0,Regular,Alto,Não,Sim,Vermelha,7178.51
COM-0009,Loja,Zona Oeste,137.18,0.0,1,0.0,8.84,0,Novo,Médio,Não,Sim,Amarela,7138.72
COM-0010,Loja,Zona Norte,164.39,2.0,2,0.0,8.48,0,Regular,Baixo,Não,Sim,Verde,4907.05
COM-0011,Sala Comercial,Centro,62.29,1.0,1,4.0,0.94,10,Precisa Reforma,Alto,Sim,Sim,Vermelha,3909.85
COM-0012,Sala Comercial,Zona Norte,35.24,0.0,1,7.0,12.08,8,Bom,Médio,Não,Sim,Amarela,800.0
COM-0013,Sala Comercial,Centro,62.95,2.0,1,8.0,6.19,2,Precisa Reforma,Médio,Não,Sim,Azul,2180.15
COM-0014,Prédio Comercial,Zona Oeste,878.7,8.0,8,,9.34,12,Bom,Baixo,Sim,Sim,Cinza,56809.67
