area_m2,bairro_valorizacao,idade_imovel,distancia_centro_km,fluxo_pessoas_dia,preco
61.28,medio,7,9.63,919,4020.68
116.99,medio,9,6.98,1181,9119.39
72.44,medio,5,2.01,934,5619.99
190.78,medio,6,2.45,1269,13271.45
20.75,medio,19,11.19,876,1589.76
202.75,baixo,31,17.13,582,5273.0
191.59,medio,11,8.27,1157,14718.94
204.18,baixo,7,8.04,782,7919.96
35.34,alto,5,3.52,1624,7870.3
127.52,baixo,17,6.28,911,6344.52
106.14,medio,3,9.98,947,7882.03
170.8,baixo,5,8.55,799,7827.64
138.34,medio,6,8.83,1146,6044.39
24.89,medio,19,6.64,916,2961.68
122.4,medio,13,7.85,1210,6452.39
290.59,baixo,9,14.13,762,12292.16
98.82,alto,4,4.34,1372,9189.35
81.41,alto,47,5.88,1517,6930.47
81.75,medio,19,4.03,1188,7596.79
124.97,alto,4,3.4,1325,12292.71
153.9,medio,4,9.87,1212,11480.15
149.29,baixo,17,12.06,731,5099.97
136.66,medio,20,7.91,1187,8350.85
97.61,baixo,20,14.78,389,2009.9
104.42,alto,20,3.27,1568,9874.8
90.24,baixo,2,19.14,262,1349.73
176.24,medio,15,11.35,1096,9481.41
114.49,medio,5,10.74,1095,7551.29
40.6,baixo,9,14.87,415,900.0
119.57,baixo,14,15.94,447,3088.36
84.12,alto,25,7.98,1207,5264.88
94.85,alto,5,8.61,1489,6885.49
166.05,medio,14,8.28,1192,10622.97
156.92,baixo,22,8.97,856,4907.06
266.25,baixo,22,11.57,612,7166.73
145.98,baixo,33,11.12,399,2394.73
56.82,alto,4,4.18,1602,7695.37
54.69,baixo,14,20.33,389,900.0
50.99,medio,22,5.41,1261,2677.93
147.64,medio,14,4.08,1350,10806.0
20.0,medio,9,8.25,1002,4211.63
182.63,medio,24,11.98,1041,7678.86
368.01,medio,7,8.19,1601,17216.93
177.85,medio,16,8.0,1209,13573.95
42.89,medio,27,5.7,872,2613.3
177.92,baixo,14,15.97,514,6000.99
91.1,baixo,8,11.54,662,3956.12
338.48,medio,13,10.71,1447,16454.43
30.03,medio,10,5.35,906,3880.77
118.92,alto,26,5.19,1594,13377.18
295.08,medio,26,6.88,1360,14725.53
224.01,baixo,10,12.75,874,7751.99
304.15,baixo,14,20.03,788,9378.99
41.18,baixo,27,9.95,576,900.0
45.8,medio,14,10.37,818,3422.45
95.79,alto,13,6.39,1329,9379.52
20.57,medio,11,4.48,783,2941.72
203.44,baixo,33,9.36,569,5474.59
158.08,baixo,10,10.92,780,5740.4
128.6,medio,7,6.38,1492,9399.28
20.0,baixo,6,24.47,360,900.0
176.71,baixo,7,14.79,546,7457.19
48.49,medio,5,6.61,1045,6501.22
87.86,medio,5,6.58,838,5078.13
154.44,baixo,8,11.65,826,6059.58
163.31,medio,9,8.37,991,6728.54
116.63,medio,8,12.1,776,4427.9
260.38,medio,33,6.11,1173,12765.07
89.91,baixo,32,12.82,165,900.0
32.86,medio,2,8.94,815,2750.42
118.45,baixo,6,15.18,375,3642.81
66.94,baixo,8,13.5,538,1977.4
140.98,baixo,17,20.71,387,2084.22
109.75,medio,4,6.85,1197,6905.21
372.79,baixo,16,16.05,1015,11904.86
237.16,medio,9,4.42,1471,13887.93
112.43,medio,15,8.2,1042,7445.92
120.28,baixo,13,8.51,709,4362.19
53.0,baixo,11,13.93,419,2354.79
117.03,medio,10,4.68,1178,9974.85
61.06,medio,11,10.48,1163,5214.64
150.87,alto,18,4.98,1553,12273.58
103.82,baixo,27,13.06,715,2951.32
20.0,baixo,7,14.85,380,900.0
234.74,baixo,9,9.85,1264,9728.82
146.28,medio,5,12.04,971,7878.48
182.65,baixo,17,4.77,940,7904.3
249.87,medio,14,7.02,1191,15731.21
146.77,alto,39,2.25,1433,13116.66
283.24,medio,12,4.61,1316,18152.48
159.54,medio,16,14.93,549,4558.97
23.37,alto,26,2.68,1515,5476.31
51.53,baixo,14,18.52,282,900.0
67.2,baixo,9,14.22,550,1767.75
129.38,baixo,10,14.56,497,4053.64
28.41,alto,20,5.92,1237,3049.85
141.9,alto,26,5.11,1697,11373.2
206.52,alto,42,0.32,1792,14079.63
94.37,alto,14,4.27,1626,13769.85
196.29,baixo,13,8.18,853,7015.38
73.85,medio,11,3.97,1000,7617.44
423.51,baixo,10,5.73,1490,16613.72
204.22,medio,25,8.61,1155,9140.96
92.1,medio,5,8.39,1365,5687.28
64.56,baixo,7,22.02,175,900.0
103.94,alto,6,4.32,1504,9431.01
85.79,baixo,5,18.43,431,2568.71
157.09,baixo,11,14.55,702,4051.82
194.16,medio,8,7.06,1320,9542.48
156.02,baixo,17,5.04,734,6290.01
240.83,medio,23,7.09,1322,13365.52
49.95,baixo,17,10.21,741,3601.73
134.41,medio,5,11.86,1069,7555.71
60.78,baixo,6,9.69,586,2059.68
203.56,medio,23,11.81,1181,10541.12
301.79,medio,14,2.92,1431,20017.93
292.97,baixo,16,4.89,1246,12560.52
228.89,medio,30,12.46,989,6976.87
105.52,baixo,20,17.24,289,1256.69
20.0,medio,9,9.32,837,2789.6
238.15,baixo,14,15.43,592,8098.64
154.64,baixo,44,13.2,772,5287.83
200.55,medio,3,12.47,946,9552.92
77.94,baixo,4,10.54,638,4445.26
110.39,baixo,16,8.58,595,5091.55
158.77,alto,21,2.8,1625,15390.56
72.72,medio,24,5.88,815,5087.6
57.08,medio,15,6.95,1221,5401.75
116.85,medio,27,6.42,1284,8310.24
70.78,baixo,19,15.9,678,2584.35
54.27,medio,18,15.12,581,1837.6
75.17,medio,8,11.47,1100,5030.23
124.27,baixo,9,12.65,618,3828.79
109.63,alto,13,5.15,1350,7850.65
184.21,medio,34,12.05,1357,8693.39
248.27,medio,12,2.85,1482,14468.17
123.08,medio,6,15.81,956,4699.15
157.45,baixo,9,8.17,913,5207.86
93.66,baixo,4,7.91,556,3708.64
184.21,medio,6,11.82,859,9858.24
132.53,medio,1,12.43,821,7110.16
51.32,alto,11,1.12,1635,6104.63
193.95,baixo,12,11.72,810,5845.7
231.54,alto,9,3.56,1679,20714.11
144.55,baixo,23,18.58,373,2306.16
225.41,alto,32,7.12,1437,14885.59
262.23,alto,4,4.53,1742,19388.82
89.89,medio,11,11.48,1010,6556.49
86.02,medio,10,7.24,1321,8104.48
169.08,medio,10,10.21,892,9722.24
35.83,medio,27,10.37,986,1455.54
77.55,baixo,24,7.26,968,5857.99
119.61,alto,12,3.63,1569,13075.55
29.65,medio,19,5.79,906,2149.54
151.73,baixo,6,13.45,553,4779.68
68.97,medio,8,13.63,718,2785.3
131.34,baixo,1,16.08,763,5466.7
281.4,baixo,19,10.22,1051,10579.2
112.14,medio,5,12.98,664,4813.96
183.82,alto,17,1.64,1956,19847.17
156.82,baixo,0,19.73,724,4931.79
52.07,baixo,13,16.17,299,900.0
92.96,medio,22,6.95,1115,6065.96
226.61,baixo,14,13.19,911,11763.8
88.57,baixo,4,15.21,290,2549.15
329.48,medio,6,8.55,1333,21696.19
105.88,baixo,28,19.38,321,900.0
158.73,baixo,7,6.04,726,6935.08
209.6,medio,19,6.95,1350,14657.33
67.29,baixo,14,15.73,280,900.0
382.89,medio,8,6.91,1394,20763.47
126.8,medio,11,13.09,852,6763.37
389.6,medio,20,4.04,1908,22272.51
251.49,medio,4,11.7,1031,14360.62
190.48,medio,3,8.43,1402,12488.02
200.58,baixo,11,19.4,327,4880.05
186.49,alto,21,3.87,1493,17543.02
138.63,baixo,7,20.72,468,4748.38
418.11,baixo,19,11.12,917,16823.45
348.75,baixo,22,8.46,978,12242.59
305.75,baixo,14,18.83,806,11579.04
253.96,baixo,39,16.1,912,6122.16
157.25,medio,16,7.1,1198,11569.38
171.49,baixo,20,11.91,867,5150.99
154.51,medio,4,8.74,1204,9077.91
106.48,medio,5,7.35,961,8517.56
132.52,alto,16,4.12,1404,10552.2
26.71,medio,14,8.44,896,3533.44
232.12,medio,20,3.56,1149,13866.97
200.82,medio,4,11.34,1265,9925.91
229.28,baixo,18,15.94,606,8403.17
167.33,baixo,26,12.75,497,4015.92
98.72,medio,46,6.57,1218,4386.74
158.63,medio,26,8.53,958,8935.87
164.46,medio,5,5.6,913,9138.09
140.62,medio,13,17.55,729,4475.0
101.86,alto,23,8.75,1323,7486.16
36.38,baixo,16,19.18,250,900.0
29.85,alto,25,4.99,1359,4061.16
152.46,alto,14,7.88,1527,15686.3
92.33,medio,12,11.95,755,3350.85
70.37,baixo,29,16.79,401,961.23
47.64,baixo,18,14.59,398,900.0
132.87,medio,18,12.86,876,5776.31
166.48,medio,3,8.55,1154,8872.3
64.07,medio,15,8.81,1007,3872.27
159.64,baixo,6,10.2,800,6292.11
134.57,medio,12,9.34,986,7709.43
20.0,medio,22,7.77,1053,3724.47
158.26,baixo,13,4.84,984,6391.55
113.94,medio,27,4.13,1240,6696.47
323.2,medio,9,4.93,1473,14884.09
163.95,baixo,6,18.67,426,4324.84
144.55,medio,20,12.05,1115,8027.73
259.4,baixo,11,13.76,1034,12249.3
35.72,baixo,16,11.42,484,913.78
99.5,medio,22,18.48,768,3336.77
233.11,alto,8,6.5,1691,19289.82
70.35,alto,9,3.2,1546,11299.35
213.35,medio,9,3.15,1668,12865.86
140.97,baixo,5,20.59,506,4331.63
158.31,baixo,14,5.12,1246,7801.61
73.87,medio,32,14.92,536,2013.31
94.44,alto,15,4.64,1422,12451.95
66.51,alto,9,5.48,1425,7492.8
178.86,alto,24,4.0,1824,15658.12
55.06,medio,23,11.9,511,1098.96
185.32,alto,16,2.28,1521,18153.3
159.17,medio,13,6.35,1299,10736.11
134.81,alto,13,6.48,1611,13610.98
460.05,alto,20,5.61,2024,29719.93
78.6,alto,19,6.13,1569,6620.47
479.47,baixo,12,18.73,1246,20395.0
181.65,medio,14,6.53,1054,12729.34
88.54,baixo,18,21.71,315,900.0
130.62,medio,10,12.13,867,6903.38
76.59,medio,11,10.55,797,3543.7
67.89,medio,6,3.73,1098,5138.25
445.41,alto,19,5.12,1506,28072.74
206.73,medio,10,11.32,972,12352.02
156.25,medio,25,12.43,974,7365.83
48.56,medio,7,9.44,770,3970.43
32.3,medio,12,4.43,1089,3507.63
150.9,medio,3,11.39,874,6356.67
49.49,medio,29,5.55,868,2856.4
250.94,alto,6,5.92,1924,18642.17
230.63,baixo,7,14.23,392,7396.51
113.68,baixo,51,14.55,448,1571.98
38.04,alto,29,5.63,1237,2745.21
134.06,baixo,6,14.17,476,3991.56
139.45,alto,18,6.13,1467,12503.21
73.18,medio,4,7.98,1035,5646.44
112.0,medio,17,9.39,1117,5597.11
142.22,baixo,2,14.76,692,3874.75
20.0,baixo,12,16.67,283,900.0
54.11,medio,17,8.61,801,3469.43
69.64,baixo,16,19.2,482,900.0
97.54,medio,18,10.29,869,3463.39
88.3,baixo,2,24.27,273,900.0
170.48,medio,3,3.05,1643,10796.34
255.42,baixo,9,15.79,670,8065.68
189.49,baixo,14,12.95,565,6944.33
92.21,baixo,31,17.34,531,900.0
33.27,baixo,26,14.54,445,900.0
200.7,alto,23,2.6,1832,18948.04
102.25,baixo,16,13.69,272,1489.08
130.95,medio,3,7.22,1205,11424.5
111.26,medio,9,0.3,1085,7894.81
183.44,medio,11,16.87,1180,10698.83
128.58,baixo,2,13.23,444,3829.52
77.09,medio,19,3.04,1130,7688.75
65.38,baixo,14,8.94,769,2932.66
52.2,baixo,60,16.96,363,900.0
91.37,baixo,38,10.64,607,2101.98
102.78,alto,8,2.86,1605,7332.41
57.91,medio,8,14.43,797,3568.38
294.64,medio,5,9.88,1429,16717.75
95.99,baixo,16,12.47,529,3008.66
46.72,baixo,17,11.95,541,905.22
36.36,medio,9,15.9,756,1396.29
148.76,baixo,18,12.81,867,5083.85
131.79,baixo,5,9.31,786,5706.89
186.83,medio,4,3.04,1285,12496.82
25.46,medio,11,7.91,1007,1676.39
165.54,medio,22,8.43,1218,10057.44
71.94,baixo,9,13.4,567,2734.83
150.06,alto,8,5.42,1552,10988.72
215.73,baixo,22,10.26,1066,8704.57
144.52,alto,14,3.06,1719,12038.3
55.7,medio,6,0.88,1353,8343.81
85.03,baixo,29,16.17,343,1159.06
329.99,medio,19,7.63,1241,16473.95
256.44,medio,18,9.17,1359,13930.12
169.26,alto,20,6.28,1519,9684.68
124.69,baixo,7,17.43,541,3557.71
185.71,medio,59,12.31,968,6547.7
186.19,baixo,3,5.5,1277,11265.61
87.85,medio,11,3.65,1381,8810.6
148.79,baixo,37,14.8,595,2359.21
102.71,baixo,7,15.49,391,3190.7
84.1,baixo,4,15.07,442,2949.16
51.58,baixo,19,15.01,453,900.0
28.31,medio,6,10.14,953,2861.78
71.9,medio,32,9.48,600,2102.33
44.77,baixo,25,12.45,543,900.0
124.9,baixo,27,8.15,696,3500.05
184.45,baixo,3,5.21,937,8366.15
182.56,baixo,20,13.29,585,5540.42
40.74,medio,6,11.74,877,2718.57
162.82,baixo,12,11.92,507,6579.73
250.52,alto,2,5.24,1721,16385.58
63.6,medio,17,9.97,784,3296.17
76.31,medio,26,6.64,1286,10381.71
64.1,baixo,36,15.23,373,900.0
126.39,medio,7,8.03,1013,7209.16
168.29,medio,11,8.89,1054,9260.56
110.02,medio,5,7.25,1000,6937.71
20.0,medio,12,6.48,905,3193.55
132.93,medio,9,10.44,961,6641.47
75.65,baixo,11,9.62,618,2598.93
259.48,medio,14,11.31,1186,13939.72
108.14,baixo,3,21.36,578,2180.38
165.76,baixo,28,14.28,768,5385.4
326.6,baixo,6,11.66,1055,12938.79
70.83,baixo,15,17.06,706,1132.7
139.25,medio,33,8.22,1039,10649.54
110.14,baixo,22,9.37,964,6043.13
120.92,medio,3,4.25,1468,10553.77
94.39,alto,5,6.57,1420,10232.5
197.07,alto,28,7.1,1507,13499.2
196.64,baixo,20,18.77,630,5200.06
147.42,baixo,6,10.41,595,5418.27
156.05,alto,7,3.25,1649,14251.89
167.93,alto,5,3.78,1382,11819.99
62.66,alto,19,4.4,1286,5891.92
121.02,baixo,12,20.76,399,1853.7
127.37,medio,11,15.19,753,6618.41
68.66,baixo,9,13.18,683,3722.88
89.26,baixo,4,10.19,870,4742.6
139.71,alto,6,1.26,2065,15174.34
232.99,alto,21,6.27,1716,22129.4
44.16,medio,4,10.1,1004,3576.36
74.6,baixo,6,22.71,317,900.0
111.28,alto,24,3.48,1697,15799.49
193.84,baixo,5,13.51,842,7674.01
129.22,alto,14,5.44,1375,13628.79
116.47,baixo,19,11.39,783,3950.95
173.5,baixo,17,18.65,542,4585.56
132.28,medio,1,10.67,952,7677.95
115.23,baixo,17,13.06,449,2445.59
99.76,baixo,46,12.61,809,1451.28
51.77,medio,17,4.28,1219,6777.12
63.05,medio,11,7.08,595,3016.14
109.95,medio,18,2.14,979,5806.77
278.5,medio,5,6.84,1235,14701.7
101.39,medio,29,6.82,1102,5788.69
245.31,medio,11,10.57,1141,12074.7
200.23,medio,6,11.74,1122,12472.96
189.89,alto,16,8.7,1341,12891.1
161.63,medio,26,5.81,1288,10816.14
107.0,medio,5,13.58,814,7283.56
184.34,medio,22,13.06,1060,8483.64
62.4,medio,8,15.52,528,2851.23
201.55,medio,33,11.21,960,9014.85
96.73,medio,1,7.59,940,6935.43
46.37,medio,37,15.06,932,1830.01
39.91,baixo,10,11.89,602,1659.98
297.4,baixo,22,18.14,448,7415.71
149.42,baixo,20,17.02,433,1982.41
176.58,medio,24,3.44,1347,7966.07
88.29,medio,5,7.04,1101,5868.82
233.45,medio,15,11.33,1290,11715.68
246.72,baixo,20,8.13,945,8277.16
231.07,alto,18,7.0,1823,19424.68
188.07,medio,10,9.24,1302,13791.17
92.83,medio,1,13.46,819,5606.58
28.18,baixo,32,15.51,590,900.0
67.78,medio,37,7.87,817,1770.98
314.29,baixo,24,15.03,830,10875.81
116.75,medio,5,6.75,1128,7173.63
91.94,baixo,7,14.48,381,2153.53
77.83,baixo,6,7.76,722,4126.09
113.8,baixo,4,14.39,740,4025.29
436.64,baixo,14,21.61,765,12690.31
165.98,alto,6,5.78,1647,14049.95
234.62,alto,22,6.27,1755,15037.63
57.32,medio,10,6.02,935,4650.17
53.1,baixo,9,14.09,546,2034.46
336.7,baixo,1,20.21,565,10223.91
303.87,baixo,8,19.74,605,10574.31
20.0,baixo,26,17.8,170,900.0
149.79,baixo,15,15.67,518,3957.15
202.73,baixo,19,21.8,355,3268.13
51.53,baixo,39,9.97,536,900.0
238.67,medio,27,3.4,1279,12492.63
38.16,baixo,23,16.74,348,900.0
187.54,alto,10,3.04,1505,15196.96
302.75,medio,20,8.58,1453,17383.6
118.5,medio,10,9.26,1152,6973.96
205.77,medio,17,10.09,827,11118.33
83.1,baixo,4,14.69,597,1690.58
53.83,baixo,9,25.96,195,900.0
615.41,medio,8,9.84,1731,30460.48
170.34,alto,4,3.69,1928,15771.18
171.41,alto,19,2.54,1605,9547.67
108.84,medio,3,10.58,1127,5892.82
131.45,alto,6,7.88,1746,12139.41
84.42,baixo,9,16.96,611,2313.62
244.9,medio,18,17.06,1255,12286.47
166.77,baixo,15,11.65,763,7589.93
145.3,baixo,11,10.17,935,5447.2
127.55,alto,35,1.85,1682,10154.51
154.14,baixo,7,11.73,589,4483.22
126.72,medio,1,10.74,999,6532.58
187.39,baixo,18,22.78,414,3974.59
139.63,baixo,6,7.79,542,6004.87
219.16,medio,14,3.53,1262,13681.91
112.28,medio,15,1.92,1287,8557.69
148.83,medio,18,11.23,929,5693.56
82.69,medio,12,13.97,927,3561.08
212.33,baixo,12,18.54,541,7211.8
289.58,medio,17,7.93,1629,14706.75
119.62,medio,2,11.9,841,4478.96
154.03,baixo,29,14.83,641,4810.26
309.6,alto,6,2.41,2425,23348.34
288.4,medio,21,3.82,1609,18009.74
151.07,baixo,16,19.82,550,5055.76
70.21,medio,12,13.03,825,4901.7
74.5,medio,11,11.26,1204,9186.17
31.91,medio,16,3.42,1166,2136.42
285.69,alto,4,4.78,1678,25738.07
185.34,medio,12,1.92,1368,12516.65
173.87,baixo,3,16.07,516,4280.26
163.42,medio,27,6.09,1121,8047.83
117.54,alto,8,4.58,1421,11035.7
20.0,baixo,40,15.35,490,900.0
196.33,medio,21,10.35,1277,10639.46
46.75,alto,11,6.29,1537,9898.8
271.27,baixo,8,16.51,736,8052.08
25.38,baixo,16,20.3,202,900.0
91.36,baixo,26,8.66,757,3261.43
177.6,baixo,6,12.03,692,6234.68
132.39,baixo,5,13.69,720,4811.96
116.02,medio,11,5.79,1310,8427.58
59.23,medio,16,12.08,676,2418.51
109.74,medio,11,6.27,1009,9914.4
63.35,baixo,28,12.3,516,1352.93
115.96,medio,11,10.67,1059,8744.04
184.91,alto,17,1.3,1765,16126.17
144.42,alto,18,7.95,1878,9261.18
63.33,medio,11,9.96,864,3248.65
176.11,baixo,5,9.49,767,7184.34
192.48,alto,5,5.36,1440,19378.0
63.76,medio,18,14.5,731,2976.97
110.24,baixo,22,9.54,1045,4556.63
51.14,medio,3,6.85,609,4575.41
65.9,baixo,12,20.44,462,900.0
139.63,baixo,16,9.33,705,6939.49
124.7,baixo,21,11.73,726,4732.6
88.78,alto,8,3.22,1382,9676.5
226.83,alto,8,4.73,1639,17805.67
57.83,medio,21,1.26,1142,5470.86
