area_m2,bairro_valorizacao,idade_imovel,vagas_estacionamento,distancia_centro_km,fluxo_pessoas_dia,taxa_vacancia_regiao,tipo_imovel,padrao_construtivo,mes_cadastro,preco
118.02,baixo,7,3,16.1,260,15.78,loja,medio,11,2204.15
48.58,baixo,14,2,10.19,267,24.12,sala_comercial,baixo,1,850
59.2,alto,10,0,3.84,1800,6.29,escritorio,baixo,6,7952.65
615.7,baixo,13,?,11.41,585,19.44,galpao,medio,6,26588.6
152.08,medio,42,0,10.73,?,3.59,loja,baixo,3,6693.03
18,alto,8,0,1.91,1267,4.83,sala_comercial,medio,5,6526.62
178.36,alto,6,0,6.69,?,2.77,loja,medio,5,13938.9
68.03,medio,9,0,9.85,559,15.84,sala_comercial,medio,5,850
170.97,medio,5,0,8.19,1073,17.61,loja,alto,5,11100.03
?,medio,1,0,5.38,1036,14.0,escritorio,baixo,4,5182.54
36.64,baixo,10,1,14.51,295,18.75,escritorio,medio,12,850
710.51,medio,11,3,12.55,1973,9.0,galpao,baixo,4,91788.76
18,baixo,7,0,12.22,401,13.6,loja,medio,3,850
108.13,medio,5,1,?,896,10.3,loja,baixo,?,4616.75
28.95,baixo,15,1,9.33,734,9.62,sala_comercial,medio,3,1003.08
56.43,baixo,24,0,17.35,45,22.37,sala_comercial,medio,12,850
72.82,medio,5,0,10.7,920,11.92,sala_comercial,baixo,1,3322.54
85.09,baixo,19,0,21.67,45,24.44,loja,medio,?,850
121.46,medio,40,2,10.78,1089,12.01,loja,baixo,1,7399.96
36.06,baixo,38,0,17.66,45,14.6,loja,alto,5,850
31.78,alto,4,0,8.09,1532,8.38,sala_comercial,alto,10,6604.68
65.23,medio,13,0,7.53,1027,15.01,sala_comercial,medio,4,3826.68
149.85,baixo,11,1,17.23,201,15.56,escritorio,baixo,10,850
79.54,baixo,22,1,14.74,430,22.1,sala_comercial,medio,7,850
188.52,alto,?,3,4.27,1829,7.02,loja,medio,11,22623.19
187.75,baixo,7,1,15.98,434,13.73,?,baixo,10,4497.57
197.35,medio,23,3,9.53,1025,8.02,loja,medio,12,10352.84
97.13,alto,19,0,3.07,1606,8.05,escritorio,medio,1,10931.97
157.38,medio,8,0,9.35,1353,14.25,loja,medio,11,9162.79
65.56,medio,3,0,6.74,1013,11.1,loja,baixo,5,5522.05
89.08,baixo,8,0,4.81,783,12.95,sala_comercial,medio,8,4141.1
58.03,medio,17,0,5.09,?,?,sala_comercial,medio,1,3973.15
191.69,baixo,10,3,18.85,273,4.93,loja,medio,?,7091.54
76.73,medio,11,0,7.8,797,7.07,loja,?,2,5696.34
60.85,alto,13,?,2.02,1366,6.1,sala_comercial,alto,2,6919.6
727.38,medio,6,1,10.01,1669,7.13,galpao,alto,7,51244.48
846.09,alto,18,1,3.82,1783,5.0,galpao,alto,7,72043.55
84.57,baixo,17,1,19.41,45,?,sala_comercial,medio,6,850
133.71,alto,5,0,3.55,1986,4.83,loja,medio,12,17506.04
94.25,medio,19,2,10.18,1052,5.49,loja,medio,7,8187.69
71.08,alto,13,1,4.42,1020,5.15,sala_comercial,medio,6,6604.81
40.47,baixo,5,1,18.06,170,16.29,?,alto,8,850
49.54,alto,12,0,5.32,1204,8.98,sala_comercial,medio,7,4651.6
105.55,alto,13,0,5.04,1512,4.43,escritorio,medio,?,11858.35
67.86,baixo,2,0,6.94,722,16.7,sala_comercial,medio,3,2879.66
86.86,medio,14,0,8.57,945,10.31,sala_comercial,medio,5,5697.64
18,medio,3,?,6.61,823,7.32,sala_comercial,baixo,5,850
38.95,?,10,1,8.08,1193,5.88,sala_comercial,medio,5,2290.78
149.79,baixo,15,2,22.06,?,18.01,escritorio,baixo,3,850
62.61,medio,10,0,5.87,903,10.54,loja,medio,10,2683.78
843.16,baixo,13,7,12.65,1055,20.35,galpao,?,?,45316.88
?,?,14,8,6.69,1556,10.19,galpao,baixo,4,41466.26
31.22,alto,6,0,?,975,7.45,sala_comercial,alto,8,3458.02
94.55,medio,3,3,?,745,8.18,loja,baixo,12,5084.95
40.74,medio,1,0,6.58,942,9.59,escritorio,baixo,9,2965.79
62.18,medio,2,0,6.09,442,5.34,sala_comercial,medio,10,2418.28
766.24,medio,30,?,6.34,1373,13.54,galpao,baixo,?,38013.0
21.35,alto,21,0,2.93,3291,3.1,escritorio,baixo,2,9209.99
147.23,alto,0,3,3.56,?,9.21,escritorio,medio,9,14558.24
62.86,baixo,19,0,3.67,588,21.17,sala_comercial,baixo,9,1276.75
67.12,medio,10,5,10.75,571,13.57,loja,medio,5,4330.25
229.13,baixo,24,0,20.92,330,17.03,galpao,medio,9,2321.42
?,medio,14,0,5.45,1155,8.33,loja,baixo,7,5710.89
273.11,baixo,6,2,11.68,902,16.5,loja,alto,11,15286.59
18,baixo,13,0,24.16,45,12.0,?,medio,7,850
128.97,alto,7,?,?,?,7.08,escritorio,medio,7,12972.12
95.88,medio,4,0,12.51,322,10.2,sala_comercial,medio,4,1792.8
91.92,medio,4,0,9.42,796,10.57,loja,alto,9,5685.1
31.09,medio,3,1,9.2,737,11.23,loja,medio,8,1974.11
18,medio,3,1,11.62,636,10.77,loja,medio,4,850
83.24,medio,21,1,?,867,11.94,sala_comercial,baixo,9,3296.75
52.39,baixo,2,1,13.26,45,21.83,escritorio,baixo,6,850
38.17,?,13,0,11.51,568,7.26,escritorio,medio,8,850
218.84,medio,34,2,9.63,1378,16.66,loja,alto,8,13255.01
761.06,alto,17,8,4.32,2639,7.69,galpao,baixo,3,59795.06
217.87,medio,29,2,14.89,751,16.02,galpao,medio,12,8649.26
78.09,medio,3,2,11.4,707,11.89,escritorio,alto,5,5477.38
43.83,medio,8,3,6.1,849,9.38,escritorio,medio,6,5513.87
115.27,baixo,5,2,7.89,?,19.89,escritorio,baixo,7,987.81
95.75,alto,21,1,7.86,1727,2.23,sala_comercial,alto,8,9079.25
628.62,baixo,7,2,17.28,1014,12.46,galpao,medio,4,25771.07
59.98,baixo,?,1,15.74,185,25.71,sala_comercial,medio,1,850
82.23,baixo,?,1,15.14,231,13.37,?,alto,11,982.89
58.8,medio,8,0,5.92,1048,?,escritorio,medio,12,3442.91
161.44,medio,11,2,?,778,12.28,?,medio,6,8674.33
176.86,medio,10,0,5.11,1174,12.66,loja,baixo,3,10295.27
142.09,medio,1,1,7.6,749,13.12,loja,baixo,6,5908.56
84.96,medio,7,2,12.51,851,12.96,escritorio,baixo,12,2586.72
70.11,medio,17,0,12.07,409,13.51,sala_comercial,medio,5,850
274.3,medio,6,0,8.37,1047,10.52,galpao,alto,11,16807.79
206.97,medio,?,1,13.24,1083,11.62,loja,medio,12,10163.93
37.05,medio,6,0,11.61,962,20.0,sala_comercial,baixo,10,850
142.86,baixo,31,?,14.07,453,20.65,escritorio,alto,5,850
581.97,baixo,9,4,13.33,581,23.73,galpao,alto,9,26031.71
?,medio,26,8,7.78,1504,11.68,galpao,medio,11,28773.16
120.85,medio,3,1,6.52,860,9.8,escritorio,medio,4,6696.38
1010.4,baixo,24,10,2.67,1932,16.38,galpao,medio,4,49273.86
110.5,?,33,0,10.61,957,10.72,sala_comercial,alto,3,2977.72
173.0,medio,10,0,7.87,976,12.97,loja,medio,11,10139.05
62.78,?,8,1,6.41,745,10.54,sala_comercial,alto,7,4282.08
60.48,baixo,7,0,16.21,460,17.06,sala_comercial,baixo,5,850
35.12,baixo,14,2,14.37,364,15.54,sala_comercial,medio,7,850
79.61,alto,10,0,6.39,1437,4.94,escritorio,medio,8,7851.0
126.04,medio,18,0,8.86,872,8.34,escritorio,alto,3,7390.74
32.75,baixo,15,1,10.27,336,21.56,sala_comercial,medio,4,850
213.22,alto,7,2,5.7,1074,8.31,?,medio,5,19568.86
170.0,alto,23,2,6.05,1185,7.17,escritorio,medio,1,13277.89
18.46,medio,16,0,10.63,857,11.2,loja,baixo,11,916.45
122.63,baixo,13,1,9.51,590,23.23,loja,alto,5,4669.98
193.27,baixo,1,1,22.76,778,18.02,loja,alto,3,6745.55
824.47,medio,10,1,6.44,2274,9.85,galpao,medio,11,44151.1
76.03,medio,36,1,10.46,907,8.54,sala_comercial,medio,6,1645.08
57.56,baixo,5,3,14.63,621,15.69,sala_comercial,alto,3,1474.33
155.05,baixo,20,1,11.36,494,17.88,?,medio,6,2351.88
18,baixo,15,0,20.62,216,19.25,loja,medio,10,850
157.66,alto,3,4,4.4,?,6.73,?,alto,10,27591.24
182.72,medio,16,4,11.34,1192,9.5,loja,medio,4,10465.44
88.32,alto,33,3,0.4,?,6.29,loja,alto,6,12311.1
63.56,alto,10,2,1.92,1918,6.1,sala_comercial,medio,2,10346.55
1024.62,medio,5,8,7.58,2232,13.63,galpao,baixo,8,53895.51
437.38,alto,?,8,4.02,1530,5.9,galpao,alto,3,38901.23
90.99,alto,10,4,2.77,1038,1.5,loja,baixo,1,11183.52
738.35,medio,18,2,?,1773,10.89,galpao,medio,11,39358.3
598.41,baixo,15,5,17.78,616,?,galpao,medio,6,25399.07
112.38,baixo,?,?,12.92,?,11.62,escritorio,baixo,10,850
65.77,medio,7,4,11.61,825,10.78,?,medio,1,4584.44
83.27,baixo,20,3,24.19,155,13.54,sala_comercial,baixo,4,850
171.52,alto,10,1,0.4,1494,3.23,escritorio,baixo,4,15403.43
44.77,baixo,11,0,11.27,160,14.14,sala_comercial,medio,10,850
173.92,baixo,?,2,21.54,?,24.39,loja,baixo,7,1125.15
142.83,medio,49,0,5.02,1297,17.92,galpao,medio,1,5989.88
141.83,medio,21,2,5.83,1311,11.79,escritorio,medio,1,8357.94
59.11,baixo,3,0,8.21,310,16.41,sala_comercial,baixo,6,850
76.19,baixo,23,0,14.79,299,17.44,sala_comercial,baixo,11,850
89.5,baixo,10,3,10.82,283,21.99,escritorio,alto,1,2071.28
937.15,alto,7,13,2.75,2321,7.62,galpao,baixo,12,65821.24
132.49,medio,12,2,7.66,901,8.54,loja,medio,2,7658.42
130.51,medio,31,2,9.66,985,8.86,loja,medio,3,7982.92
145.12,medio,36,0,9.32,1181,8.78,galpao,alto,1,7712.69
269.71,medio,11,2,8.72,1057,16.49,galpao,medio,6,14832.53
531.63,medio,19,9,7.13,1434,9.52,galpao,alto,9,38508.23
73.51,baixo,2,0,12.22,214,22.24,loja,alto,10,850
156.46,medio,11,2,10.3,1134,11.15,loja,medio,11,8011.25
18,medio,3,1,5.98,577,14.89,?,baixo,7,1134.89
174.67,baixo,44,3,18.44,620,18.2,loja,baixo,5,2915.67
347.5,medio,3,1,7.42,1118,4.38,galpao,baixo,12,20009.42
62.94,medio,3,0,5.36,1014,9.67,sala_comercial,medio,8,3919.35
105.81,medio,3,0,8.37,805,9.34,escritorio,medio,9,5097.93
85.51,alto,6,2,3.01,?,6.41,sala_comercial,alto,6,10017.02
221.09,alto,10,0,6.68,1442,7.04,loja,baixo,8,14399.42
18,medio,7,0,7.29,390,12.54,sala_comercial,alto,9,850
77.77,medio,?,0,8.46,1335,9.96,escritorio,medio,8,7844.48
41.27,alto,18,?,?,974,2.91,escritorio,medio,?,5232.4
